ts,complexity,scale
0.25,3.871413475703435,1.0
0.5,3.871413475703435,1.0
0.75,3.871413475703435,1.0
1.0,3.871413475703435,1.0
1.25,3.871413475703435,1.0
1.5,3.871413475703435,1.0
1.75,3.871413475703435,1.0
2.0,3.871413475703435,1.0
2.25,3.871413475703435,1.0
2.5,3.871413475703435,1.0
2.75,3.871413475703435,1.0
3.0,3.871413475703435,1.0
3.25,3.871413475703435,1.0
3.5,3.871413475703435,1.0
3.75,3.871413475703435,1.0
4.0,3.871413475703435,1.0
4.25,3.871413475703435,1.0
4.5,3.871413475703435,1.0
4.75,3.871413475703435,1.0
5.0,3.871413475703435,1.0
5.25,3.871413475703435,1.0
5.5,3.871413475703435,1.0
5.75,3.871413475703435,1.0
6.0,3.871413475703435,1.0
6.25,3.871413475703435,1.0
6.5,3.871413475703435,1.0
6.75,3.871413475703435,1.0
7.0,3.871413475703435,1.0
7.25,3.871413475703435,1.0
7.5,3.871413475703435,1.0
7.75,3.871413475703435,1.0
8.0,3.871413475703435,1.0
8.25,3.871413475703435,1.0
8.5,3.871413475703435,1.0
8.75,3.871413475703435,1.0
9.0,3.871413475703435,1.0
9.25,3.871413475703435,1.0
9.5,3.871413475703435,1.0
9.75,3.871413475703435,1.0
10.0,3.871413475703435,1.0
10.25,3.871413475703435,1.0
10.5,3.871413475703435,1.0
10.75,3.871413475703435,1.0
11.0,3.871413475703435,1.0
11.25,3.871413475703435,1.0
11.5,3.871413475703435,1.0
11.75,3.871413475703435,1.0
12.0,3.871413475703435,1.0
12.25,3.871413475703435,1.0
12.5,3.871413475703435,1.0
12.75,3.871413475703435,1.0
13.0,3.871413475703435,1.0
13.25,3.871413475703435,1.0
13.5,3.871413475703435,1.0
13.75,3.871413475703435,1.0
14.0,3.871413475703435,1.0
14.25,3.871413475703435,1.0
14.5,3.871413475703435,1.0
14.75,3.871413475703435,1.0
15.0,3.871413475703435,1.0
15.25,3.871413475703435,1.0
15.5,3.871413475703435,1.0
15.75,3.871413475703435,1.0
16.0,3.871413475703435,1.0
16.25,3.871413475703435,1.0
16.5,3.871413475703435,1.0
16.75,3.871413475703435,1.0
17.0,3.871413475703435,1.0
17.25,3.871413475703435,1.0
17.5,3.871413475703435,1.0
17.75,3.871413475703435,1.0
18.0,3.871413475703435,1.0
18.25,3.871413475703435,1.0
18.5,3.871413475703435,1.0
18.75,3.871413475703435,1.0
19.0,3.871413475703435,1.0
19.25,3.871413475703435,1.0
19.5,15.48565390281374,4.0
19.75,19.357067378517176,5.0
20.0,23.22850963627202,6.000007434507213
20.25,24.369498825738063,6.294729038548415
20.5,24.899739113980512,6.431692008680689
20.75,23.874161623831963,6.166781660926578
21.0,22.58455090144773,5.833670581348618
21.25,20.00274814812853,5.166781660926578
21.5,16.62842269116967,4.295181280823612
21.75,15.223642843941123,3.932321602815879
22.0,11.386877008459454,2.941271212677809
22.25,6.638207436949658,1.7146728135887106
22.5,3.8731642925419103,1.0004522422751958
22.75,3.871413475703435,1.0
23.0,3.871413475703435,1.0
23.25,3.871413475703435,1.0
23.5,3.871413475703435,1.0
23.75,3.871413475703435,1.0
24.0,3.871413475703435,1.0
24.25,3.871413475703435,1.0
24.5,3.871413475703435,1.0
24.75,3.8731930745933187,1.0004596767824083
25.0,4.136954950304411,1.0685903162417256
25.25,5.580849791413463,1.4415535376002235
25.5,8.274620174476027,2.1373640987733893
25.75,10.172125184891135,2.62749645542391
26.0,12.529645796815382,3.2364524935014205
26.25,13.287278285760094,3.4321516854630976
26.5,14.646547080906098,3.783255695323224
26.75,15.905750852664129,4.108512550386796
27.0,17.386055180114383,4.49088047278529
27.25,17.984247416741546,4.645395675147774
27.5,18.89815741572273,4.8814619090225015
27.75,20.27247274822226,5.236452493501423
28.0,21.03007645511556,5.432144250955886
28.25,21.55725137651212,5.568315425826525
28.5,22.12389012181481,5.714680248095925
28.75,22.619227323720906,5.842627625717761
29.0,23.00111743556976,5.94127121267781
29.25,23.264879311280854,6.0094018521371275
29.5,23.264879311280854,6.0094018521371275
29.75,23.492242729931704,6.0681306394593175
30.0,23.492242729931704,6.0681306394593175
30.25,23.492242729931704,6.0681306394593175
30.5,23.492242729931704,6.0681306394593175
30.75,23.492242729931704,6.0681306394593175
31.0,23.492242729931704,6.0681306394593175
31.25,23.492242729931704,6.0681306394593175
31.5,23.264879311280854,6.0094018521371275
31.75,23.264879311280854,6.0094018521371275
32.0,23.22850963627202,6.000007434507213
32.25,23.22848085422061,6.0
32.5,19.357067378517176,5.0
32.75,19.357067378517176,5.0
33.0,19.357067378517176,5.0
33.25,19.357067378517176,5.0
33.5,19.357067378517176,5.0
33.75,19.357067378517176,5.0
34.0,15.48565390281374,4.0
34.25,15.48565390281374,4.0
34.5,15.48565390281374,4.0
34.75,15.48565390281374,4.0
35.0,3.871413475703435,1.0
35.25,3.871413475703435,1.0
35.5,3.871413475703435,1.0
35.75,3.871413475703435,1.0
36.0,3.871413475703435,1.0
36.25,3.871413475703435,1.0
36.5,3.871413475703435,1.0
36.75,3.871413475703435,1.0
37.0,3.871413475703435,1.0
37.25,3.871413475703435,1.0
37.5,3.871413475703435,1.0
37.75,3.871413475703435,1.0
38.0,3.871413475703435,1.0
38.25,3.871413475703435,1.0
38.5,3.871413475703435,1.0
38.75,3.871413475703435,1.0
39.0,3.871413475703435,1.0
39.25,3.871413475703435,1.0
39.5,3.871413475703435,1.0
39.75,3.871413475703435,1.0
40.0,3.871413475703435,1.0
40.25,3.871413475703435,1.0
40.5,3.871413475703435,1.0
40.75,3.871413475703435,1.0
41.0,3.871413475703435,1.0
41.25,3.871413475703435,1.0
41.5,3.871413475703435,1.0
41.75,3.871413475703435,1.0
42.0,3.871413475703435,1.0
42.25,3.871413475703435,1.0
42.5,3.871413475703435,1.0
42.75,3.871413475703435,1.0
43.0,3.871413475703435,1.0
43.25,15.48565390281374,4.0
43.5,19.357067378517176,5.0
43.75,23.22850963627202,6.000007434507213
44.0,24.369498825738063,6.294729038548415
44.25,24.899739113980512,6.431692008680689
44.5,23.874161623831963,6.166781660926578
44.75,34.19879132855804,8.833670581348619
45.0,35.48840205094227,9.166781660926578
45.25,35.98549006968685,9.295181280823613
45.5,35.33980930007549,9.128399619897033
45.75,32.03328375283627,8.274312199891238
46.0,25.547170700430343,6.598925911882462
46.25,22.58455090144773,5.833670581348618
46.5,20.00274814812853,5.166781660926578
46.75,36.5157303579293,9.432144250955886
47.0,42.32353717386517,10.932321602815879
47.25,46.229598289790374,11.94127121267781
47.5,41.48092871828057,10.714672813588711
47.75,38.750533214094595,10.009401852137128
48.0,46.45696170844122,12.0
48.25,3.871413475703435,1.0
48.5,3.871413475703435,1.0
48.75,3.871413475703435,1.0
49.0,3.871413475703435,1.0
49.25,3.871413475703435,1.0
49.5,3.871413475703435,1.0
49.75,3.871413475703435,1.0
50.0,3.8731930745933187,1.0004596767824083
50.25,4.555272301264915,1.1766431898461125
50.5,6.7572071160983285,1.7454108579478316
50.75,8.995104121160924,2.3234676888979204
51.0,10.778466138919253,2.784116500746748
51.25,63.424007016498344,16.382648718495307
51.5,65.58923036405412,16.94193368279697
51.75,58.49036214747154,15.108270535955567
52.0,60.42982085454987,15.609239683077195
52.25,60.46446849477164,15.618189292939126
52.5,60.72647955364425,15.685867690123247
52.75,62.508317418627286,16.146122807838175
53.0,63.38729554922071,16.373166014695254
53.25,63.803862083342736,16.480766646024446
53.5,64.33413115363659,16.61773705066393
53.75,57.347564577064205,14.813081820624744
54.0,57.34928661185127,14.813526628392726
54.25,57.87952690009372,14.950489598525001
54.5,58.373142067212754,15.077992168378856
54.75,58.373142067212754,15.077992168378856
55.0,58.90338235545521,15.21495513851113
55.25,59.28530124935547,15.31360615997839
55.5,51.54247429794859,13.313606159978386
55.75,51.542474297948594,13.313606159978388
56.0,52.03778271780328,13.441546103093012
56.25,52.00316385963292,13.432603927738294
56.5,52.001441824845855,13.432159119970311
56.75,52.00141304279445,13.432151685463099
57.0,52.00141304279445,13.432151685463099
57.25,52.03606068301622,13.44110129532503
57.5,52.034309866177736,13.440649053049833
57.75,51.99966222595597,13.431699443187904
58.0,44.256835274549104,11.431699443187904
58.25,44.25858609138757,11.432151685463097
58.5,44.25855730933617,11.432144250955886
58.75,44.2568352745491,11.431699443187902
59.0,44.2568352745491,11.431699443187902
59.25,44.2568352745491,11.431699443187902
59.5,44.29145413271945,11.44064161854262
59.75,24.90148993081899,6.4321442509558855
60.0,24.90148993081899,6.4321442509558855
60.25,24.90148993081899,6.4321442509558855
60.5,24.89976789603192,6.4316994431879015
60.75,24.89976789603192,6.4316994431879015
61.0,24.899739113980512,6.431692008680689
61.25,24.899739113980512,6.431692008680689
61.5,24.899739113980512,6.431692008680689
61.75,24.369498825738063,6.294729038548415
62.0,24.369498825738063,6.294729038548415
62.25,24.369498825738063,6.294729038548415
62.5,24.369498825738063,6.294729038548415
62.75,23.874161623831963,6.166781660926578
63.0,23.492242729931704,6.0681306394593175
63.25,23.492242729931704,6.0681306394593175
63.5,23.264879311280854,6.0094018521371275
63.75,23.264879311280854,6.0094018521371275
64.0,23.22850963627202,6.000007434507213
64.25,23.22848085422061,6.0
64.5,19.357067378517176,5.0
64.75,19.357067378517176,5.0
65.0,19.357067378517176,5.0
65.25,19.357067378517176,5.0
65.5,19.357067378517176,5.0
65.75,19.357067378517176,5.0
66.0,15.48565390281374,4.0
66.25,15.48565390281374,4.0
66.5,15.48565390281374,4.0
66.75,11.614240427110305,3.0
67.0,3.871413475703435,1.0
67.25,3.871413475703435,1.0
67.5,3.871413475703435,1.0
67.75,3.871413475703435,1.0
68.0,3.871413475703435,1.0
68.25,3.871413475703435,1.0
68.5,3.871413475703435,1.0
68.75,3.871413475703435,1.0
69.0,3.871413475703435,1.0
69.25,3.871413475703435,1.0
69.5,3.871413475703435,1.0
69.75,3.871413475703435,1.0
70.0,3.871413475703435,1.0
70.25,7.355685603836527,1.9000000000000001
70.5,14.32422986010271,3.7
70.75,18.869752509110356,4.874124819664664
71.0,23.410803758003507,6.047094660626445
71.25,26.89662571744496,6.947494987617629
71.5,24.915302928089112,6.435712197742456
71.75,22.96792184509415,5.932696672478489
72.0,21.942581405883068,5.667847555832591
72.25,20.303723832905888,5.24452476087347
72.5,16.852210316127014,4.352986427796884
72.75,14.217593541137449,3.672455455963436
73.0,11.859976567510648,3.0634745273121964
